	plan_id	state	metal_level	rate	rate_area
5723	78985VX8595382	AK	Silver	546.0	3
6601	73200BV2526412	AK	Silver	546.0	3
9498	30326AY2879036	AK	Silver	561.0	3
9910	54381CN9082654	AK	Silver	568.0	2
15356	38240VL8006581	AK	Silver	569.0	3
16353	67285WZ9370789	AK	Silver	569.0	2
1869	99250FA3947215	AK	Silver	580.0	1
11205	06457YA5248140	AK	Silver	580.0	1
16749	20268OL5980435	AK	Silver	585.0	2
4600	08401RO4108353	AK	Silver	592.0	2
304	90890EW9472063	AK	Silver	597.0	3
2156	11285MV9931371	AK	Silver	597.0	1
15062	51515CK9305826	AK	Silver	600.0	3
14962	37602UK5242536	AK	Silver	604.0	1
13071	35813FX0048300	AK	Silver	622.0	2
6338	83259YD0857559	AK	Silver	625.0	2
11019	02947JT2282890	AK	Silver	625.0	3
5393	62631IG9187646	AK	Silver	635.0	1
20138	52101LS0923184	AK	Silver	638.0	1
792	00071FP4083598	AK	Silver	651.0	2
8180	74551EQ8141765	AK	Silver	664.0	1
11316	70540SP7210976	AL	Silver	235.92	10
4894	70199NV7431040	AL	Silver	237.13	12
17751	69353DK9015936	AL	Silver	237.13	7
51	52161YL6358432	AL	Silver	245.82	6
7623	54828LI9664121	AL	Silver	248.03	13
20677	82065QL7561635	AL	Silver	248.17	11
19428	51078SW6533977	AL	Silver	248.43	9
5718	32050ZY7516649	AL	Silver	248.9	10
16512	46021PJ7454999	AL	Silver	248.94	8
3272	07821FY9296826	AL	Silver	250.31	10
14045	64563VA0846861	AL	Silver	251.03	1
5575	44721DH4629331	AL	Silver	251.53	7
12722	65682MU4752448	AL	Silver	251.53	12
15409	88913TF7204052	AL	Silver	253.37	13
10796	79355TW1242036	AL	Silver	255.03	10
14182	13128DD1397703	AL	Silver	255.57	3
4381	28130ET1465358	AL	Silver	256.21	11
6905	42779SF6782635	AL	Silver	256.21	1
21105	98264JW0214194	AL	Silver	256.21	5
21630	72404YS5031234	AL	Silver	256.21	8
18353	97616DE1497555	AL	Silver	257.8	3
6725	26092HW2296905	AL	Silver	259.34	6
15418	17954BD8512957	AL	Silver	259.94	9
22080	45319RX5310887	AL	Silver	260.81	6
5885	04751XT0241314	AL	Silver	261.66	2
8694	94369SV1914242	AL	Silver	261.66	10
9552	38637BG6812862	AL	Silver	261.66	4
15856	38075QB6907575	AL	Silver	261.66	6
13588	31507CI3685181	AL	Silver	261.81	11
18998	29231FD7079280	AL	Silver	262.08	9
12268	78348LR8422927	AL	Silver	262.63	8
8680	73838XS0335937	AL	Silver	263.1	13
19234	84233GD1213907	AL	Silver	263.3	11
16730	09749SI9323870	AL	Silver	263.58	9
14905	14601CZ6820013	AL	Silver	264.13	8
2054	24848KC5063721	AL	Silver	264.84	1
19959	78252DS9703378	AL	Silver	265.73	6
7730	50235UK0770884	AL	Silver	266.34	1
13624	16912HI8598649	AL	Silver	267.3	13
2641	03584UW8758085	AL	Silver	268.26	11
15732	10389BY7675191	AL	Silver	268.55	9
12345	52295JD3261558	AL	Silver	268.82	13
2129	89885YK0256118	AL	Silver	269.11	8
7388	90611RU8576490	AL	Silver	271.37	1
727	01100AO4222848	AL	Silver	271.77	5
10239	04839JA1134026	AL	Silver	271.77	1
12964	14324EQ6876885	AL	Silver	271.77	11
21235	74985TS1756968	AL	Silver	271.77	8
4622	36329OK6472661	AL	Silver	271.98	3
11810	19166LI1181393	AL	Silver	272.56	3
16968	03801QV0301694	AL	Silver	273.52	3
4354	14561QN7177699	AL	Silver	273.9	13
9154	31595LL1746365	AL	Silver	277.55	2
13756	41901EK1459990	AL	Silver	277.55	10
16159	43373PS4672301	AL	Silver	277.55	4
20569	79594GU0848192	AL	Silver	277.55	6
18583	01063WR6693122	AL	Silver	278.68	3
18089	98906RK3182338	AL	Silver	279.37	9
20732	92138XX2856832	AL	Silver	279.68	5
20355	36160HW8142908	AL	Silver	287.48	12
21803	31361MP3188896	AL	Silver	289.12	3
18183	31972CB5367294	AL	Silver	295.05	5
17988	11077ML7146151	AL	Silver	296.35	9
11770	30370ZH6293095	AL	Silver	296.73	5
6455	65782KV3372650	AL	Silver	302.33	5
19145	14510QW0282890	AL	Silver	303.29	12
3800	64625YH1566980	AL	Silver	304.67	2
5116	07450SA7766209	AL	Silver	304.93	4
2327	65392ON5819785	AL	Silver	305.02	12
14034	17558QG8872134	AL	Silver	310.76	12
13307	11020SB1151709	AL	Silver	321.43	2
8004	27219DL2723198	AL	Silver	321.7	4
2355	90884WN5801293	AL	Silver	323.25	2
20025	26651FV9470102	AL	Silver	323.54	4
8236	93789HV9381168	AL	Silver	324.98	7
15538	42969RD1210186	AL	Silver	329.34	2
3817	00102EI7124448	AL	Silver	329.63	4
21896	25843MR3232129	AL	Silver	342.85	7
2434	79113BU1788705	AL	Silver	344.81	7
16370	76110WO5460367	AL	Silver	351.31	7
8293	85869KR2551245	AR	Silver	264.92	5
668	14837RH4779745	AR	Silver	269.21	5
4189	06939PO2375886	AR	Silver	271.01	4
5213	49532IR7164847	AR	Silver	275.4	4
12588	22831BK0472874	AR	Silver	275.67	5
3756	26197IT7300337	AR	Silver	279.96	5
5501	97935RE3832377	AR	Silver	280.13	5
1084	20529IO1918840	AR	Silver	281.05	2
3348	87121FK9647083	AR	Silver	281.97	7
581	87796TS3500813	AR	Silver	282.0	4
19062	96975TJ6466423	AR	Silver	283.49	6
17795	09953MM7476586	AR	Silver	285.61	2
5492	72686WR6573419	AR	Silver	286.39	4
7696	25398ML2686748	AR	Silver	286.54	7
18109	26509RJ1922972	AR	Silver	286.57	4
2514	56611GD9041614	AR	Silver	288.08	6
18306	36516OY1191068	AR	Silver	291.32	5
20976	68987DC1669204	AR	Silver	292.46	2
1929	33116ZE0784444	AR	Silver	293.41	7
4535	59974HP6809182	AR	Silver	294.99	6
11299	72036UU6379516	AR	Silver	295.97	3
2449	14578FR9602049	AR	Silver	297.01	2
970	09446SQ5596000	AR	Silver	297.2	2
4343	82896YG4424063	AR	Silver	297.98	7
17776	38251PP8302367	AR	Silver	298.02	4
20920	17340KX0547317	AR	Silver	298.16	7
2258	14358ET1878212	AR	Silver	299.59	6
1245	97770EQ9451682	AR	Silver	299.77	6
15330	24846PF4947837	AR	Silver	300.77	3
6882	32165TK9237197	AR	Silver	307.99	3
16261	82608KE8991299	AR	Silver	309.07	2
2733	64317GZ0231833	AR	Silver	310.07	7
20122	72702SR6086203	AR	Silver	311.75	6
5881	37852NJ4422528	AR	Silver	312.78	3
17303	43372BX1419420	AR	Silver	312.98	3
10075	56661OC9364476	AR	Silver	323.68	1
11113	30965RN7885379	AR	Silver	325.47	3
4029	68837KZ5005088	AR	Silver	326.74	3
9540	00563VL4118590	AR	Silver	326.74	3
15238	54386TP5548106	AR	Silver	326.74	7
19155	64749KT7405266	AR	Silver	326.74	7
6855	56397IA8732300	AR	Silver	328.93	1
18228	31146YT0939902	AR	Silver	336.82	1
96	76273EP2432681	AR	Silver	342.06	1
19886	44330WW5512364	AR	Silver	342.28	1
14521	61463CK8998055	AR	Silver	355.95	1
1155	40841TN8963264	AR	Silver	363.05	4
7358	08151TB5458412	AR	Silver	363.05	4
13994	49004RU4402905	AR	Silver	363.05	1
19277	95581FL2796482	AR	Silver	363.05	1
2285	70868ZH9499930	AR	Silver	399.35	6
8472	56791GK6287265	AR	Silver	399.35	5
13726	42641MY3483715	AR	Silver	399.35	2
19154	19808YL7202972	AR	Silver	399.35	5
20255	70635HC6749321	AR	Silver	399.35	2
20304	37387XW8476777	AR	Silver	399.35	6
10832	61450XX9011807	AZ	Silver	161.58	4
8775	54490YC1409579	AZ	Silver	165.5	6
10274	45172OI9473031	AZ	Silver	172.09	4
11640	55344YV7370251	AZ	Silver	174.65	6
16944	39017QS4903759	AZ	Silver	183.93	6
15047	51671TS4572626	AZ	Silver	189.63	4
12867	87171MQ4566575	AZ	Silver	190.0	4
15741	27766GS5487331	AZ	Silver	191.76	4
7555	82918DK8343044	AZ	Silver	194.72	6
9791	97064IW1110817	AZ	Silver	194.72	6
16958	81416NG6773140	AZ	Silver	194.72	6
972	46865GO0404835	AZ	Silver	196.11	6
5322	82414YX3598667	AZ	Silver	196.11	6
9058	33814MP8857058	AZ	Silver	196.11	6
10340	92611DN6027378	AZ	Silver	197.24	4
10654	28472WF6473506	AZ	Silver	197.82	6
10236	45519FL9126162	AZ	Silver	201.12	1
12441	28448RB0505293	AZ	Silver	201.17	4
1528	66257QS3649067	AZ	Silver	209.35	5
10553	59147ON0278677	AZ	Silver	209.35	3
11627	43479SF6868588	AZ	Silver	209.35	2
14700	03587OD2668083	AZ	Silver	209.35	1
17673	13254NI2399333	AZ	Silver	209.35	7
5790	26339OX2745735	AZ	Silver	209.41	6
9685	64167QE2948403	AZ	Silver	209.41	6
14329	64653VI5444244	AZ	Silver	209.41	6
20446	93689RC1401589	AZ	Silver	211.87	6
11411	28027OH7074686	AZ	Silver	213.07	4
1746	38403EI7042264	AZ	Silver	215.06	6
8430	39048PJ8224931	AZ	Silver	218.01	6
7763	48843XS4578234	AZ	Silver	219.7	6
5762	96333HZ0089943	AZ	Silver	221.19	6
1873	87398ND0880198	AZ	Silver	226.04	6
6928	49138FF4006632	AZ	Silver	226.04	5
16464	45477UG6414847	AZ	Silver	226.04	5
6809	50377FG3522895	AZ	Silver	228.47	5
8347	04403AO9573984	AZ	Silver	228.47	5
11406	12838LY4181609	AZ	Silver	228.47	5
2971	46720GE1869348	AZ	Silver	229.09	6
12118	83769DF9165562	AZ	Silver	229.77	6
12493	18396YU8153867	AZ	Silver	229.77	6
19069	71209EG6630488	AZ	Silver	229.77	6
5498	55946SR2585531	AZ	Silver	230.1	5
11396	70970WA6219607	AZ	Silver	230.1	5
19318	58142BT3697108	AZ	Silver	230.1	5
12229	26859XG9481810	AZ	Silver	231.83	6
16997	05577HS2853311	AZ	Silver	232.82	6
7862	71511VY1294658	AZ	Silver	234.32	7
9949	34627QB2414405	AZ	Silver	234.32	7
12640	77291DW6838682	AZ	Silver	234.32	4
13506	18122ZN1873842	AZ	Silver	234.32	4
15071	95918OP2814765	AZ	Silver	234.32	7
17206	16292BC4901490	AZ	Silver	234.32	4
9351	69970RG3855635	AZ	Silver	235.16	6
21790	12050NG6074580	AZ	Silver	235.96	6
2483	71994KJ2607972	AZ	Silver	236.0	7
6709	60148MR3876013	AZ	Silver	236.0	4
9691	01834FL2737368	AZ	Silver	236.0	4
16417	57210VW2310305	AZ	Silver	236.0	7
16463	01495GY6812605	AZ	Silver	236.0	7
18608	83096SL8671795	AZ	Silver	236.0	4
6929	77293RR6263500	AZ	Silver	236.84	6
1804	92407PL6966448	AZ	Silver	244.98	6
4912	44145OS8637533	AZ	Silver	244.98	6
19102	76675KH0572400	AZ	Silver	244.98	6
14624	83364JF7680914	AZ	Silver	245.66	4
6720	06160FI7117744	AZ	Silver	245.69	5
7415	39505TP6414321	AZ	Silver	245.69	5
21092	20526FP2798603	AZ	Silver	245.69	5
10074	94446XJ9746674	AZ	Silver	250.52	4
19480	38110YO3839843	AZ	Silver	250.94	4
17649	18519RW0247262	AZ	Silver	251.15	4
4243	59691GX5945834	AZ	Silver	251.99	4
5558	76800IQ8388822	AZ	Silver	251.99	7
6300	60109WS4575301	AZ	Silver	251.99	4
6832	95690ET9349053	AZ	Silver	251.99	4
11696	53160WH0398223	AZ	Silver	251.99	7
15712	04854DV8272471	AZ	Silver	251.99	7
12230	12873ZR9153735	AZ	Silver	252.89	6
16401	95949CQ0655070	AZ	Silver	253.89	4
3870	15858VD8292042	AZ	Silver	255.16	4
16948	17895PS8060911	AZ	Silver	255.96	3
18810	18104HS9501724	AZ	Silver	258.76	4
19411	23990OK8598217	AZ	Silver	262.56	4
6339	67504HR8373798	AZ	Silver	264.6	4
11313	81310HN3115293	AZ	Silver	266.39	4
16057	47845JW3387589	AZ	Silver	267.31	4
945	72251NK5152472	AZ	Silver	269.47	1
11969	89475VI1031255	AZ	Silver	269.47	1
15861	79079SW8155437	AZ	Silver	269.47	1
2782	42312UB1148976	AZ	Silver	269.58	5
9267	21655LP9501081	AZ	Silver	269.58	5
21926	58404YR1595913	AZ	Silver	269.58	5
666	49130QQ8854457	AZ	Silver	271.39	1
3029	52855YO6981478	AZ	Silver	271.39	1
9762	21381XR4846323	AZ	Silver	271.39	1
19784	82848YJ2592777	AZ	Silver	272.66	3
18591	37674CS8175445	AZ	Silver	275.91	5
2359	11358TO9180996	AZ	Silver	276.5	7
3158	02336HG1902534	AZ	Silver	276.5	4
6118	58900VF3851148	AZ	Silver	276.5	7
9372	97906BH4499088	AZ	Silver	276.5	7
9912	78638FJ4766914	AZ	Silver	276.5	4
15893	03894WZ4333799	AZ	Silver	276.5	4
3173	66785NF0033762	AZ	Silver	276.53	3
14543	41266WV9693740	AZ	Silver	277.49	6
15154	85546OR6350189	AZ	Silver	277.88	5
8954	25219BD4801040	AZ	Silver	282.99	7
19348	85676LD8727684	AZ	Silver	282.99	4
10020	38193BB5623190	AZ	Silver	283.19	6
12610	65026QZ4125390	AZ	Silver	284.55	3
5927	45751GV1956655	AZ	Silver	285.0	7
7656	93397IN4929917	AZ	Silver	285.0	4
18340	08177SP4918521	AZ	Silver	285.64	6
13876	75419JK7966220	AZ	Silver	286.77	3
5496	18788OX4280275	AZ	Silver	287.43	5
15185	53682XO3853000	AZ	Silver	287.43	5
21998	39040OI5785968	AZ	Silver	287.43	5
15013	27722FP4166678	AZ	Silver	288.7	3
4007	59089FT5694924	AZ	Silver	289.79	1
16486	59686VN6293863	AZ	Silver	289.79	1
21650	04419KC9270571	AZ	Silver	289.79	1
6125	40819FR6628629	AZ	Silver	290.51	6
6911	74710LB9491661	AZ	Silver	292.9	3
10343	47626MM2378813	AZ	Silver	292.9	2
11693	61520II8854193	AZ	Silver	292.9	3
12350	49384EW3797331	AZ	Silver	292.9	2
14993	84971KT2723014	AZ	Silver	292.9	3
